id	internal_fact	external_claim	reason_same	reason_not_same	macro_domain	mutation_types	ambiguity_level	ambiguity_subset
35	The API rate limit is 120 requests per minute per token.	Each token is limited to 120 API requests per minute.	Same limit and scope.	Internal says ‘per token’ explicitly; external could be misread as per user or per account.	technology_rnd	near_paraphrase	medium	general
36	The team reduced build time by 35% after caching dependencies.	Dependency caching cut build time by about 35%.	Same change and cause in brief.	‘About’ introduces uncertainty; build time metric might differ (CI vs local)	technology_rnd	numerical_rounding_precision;temporal_framing_precision;causality_vs_sequence	high	high_ambiguity_numbers
37	The recommendation system increased click-through rate from 2.1% to 2.4% in A/B test #17.	In A/B test #17, CTR rose from 2.1% to 2.4% with the new recommender.	Same test and same numbers.	Could differ if internal CTR is unique users vs impressions; ‘new recommender’ implies a single cause rather than combined changes.	technology_rnd	temporal_framing_precision	medium	general
38	The R&D roadmap targets a 2027 launch for the next-generation sensor.	The next-generation sensor is aimed for launch in 2027.	Both indicate a 2027 target launch.	‘Targets’ is aspirational; ‘is aimed’ could be interpreted as more committed or as a public promise.	technology_rnd	near_paraphrase	medium	general
39	The dataset used for training contained 12.3 million labeled samples.	Training used roughly 12 million labeled samples.	Rounding preserves scale and meaning for many contexts.	0.3 million difference may matter for fairness, coverage, and compute estimates; ‘roughly’ could be read as approximate rather than counted.	technology_rnd	numerical_rounding_precision	high	high_ambiguity_numbers
40	The new chip tape-out occurred in October 2025.	The chip taped out in October 2025.	Same milestone and month.	‘New chip’ may specify which chip; external could be interpreted as the whole program rather than one variant.	technology_rnd	entity_specificity	high	high_ambiguity_mixed
41	The RMA rate stayed below 1% during the first 90 days after launch.	For the first 90 days post-launch, RMA remained under 1%.	Same threshold and window.	‘Stayed below’ implies continuous measurement; external could be interpreted as an average under 1%.	technology_rnd	threshold_boundary_scope;temporal_framing_precision;causality_vs_sequence	high	high_ambiguity_numbers
42	The product passed IEC 62368-1 safety testing on 5 Nov 2025.	IEC 62368-1 safety testing was passed on 5 Nov 2025.	Same standard and date.	Internal may refer to a specific lab’s test; external could be read as certification granted, which is a different step.	technology_rnd	temporal_framing_precision	medium	general
43	The app store rating increased from 4.2 to 4.3 after the December update.	After the December update, the app rating rose to 4.3 from 4.2.	Same change and anchor.	Internal might be weighted rating; external implies overall visible rating which can differ by region.	technology_rnd	temporal_framing_precision;causality_vs_sequence;scope_condition_omission	high	high_ambiguity_scope
44	The deprecation notice gives customers 18 months to migrate.	Customers are given an 18-month migration window in the deprecation notice.	Same migration period.	‘To migrate’ could mean complete migration; ‘window’ could be interpreted as time until partial migration or end-of-support.	technology_rnd	temporal_framing_precision	medium	general
45	The code review policy requires two reviewers for changes over 300 lines.	Changes larger than 300 lines need approval from two reviewers.	Same size threshold and reviewer count.	‘Requires’ vs ‘need approval’ could imply different enforcement; ‘over’ vs ‘larger than’ may treat exactly 300 lines differently.	technology_rnd	threshold_boundary_scope	high	high_ambiguity_numbers
46	The team estimates a 10–15% throughput gain from the new pipeline.	The new pipeline is expected to improve throughput by around 12%.	A midpoint estimate approximates the range.	A single-point expectation erases uncertainty and could be misleading if gains fall at 10% or 15%.	technology_rnd	modality_commitment_shift;numerical_rounding_precision;temporal_framing_precision	high	high_ambiguity_modality
47	The cloud migration moved 55% of services to region eu-central-1 by Dec 2025.	By Dec 2025, about 55% of services had migrated to eu-central-1.	Same fraction, region, and date.	‘Moved’ suggests completed cutover; ‘had migrated’ could include partially migrated services or traffic shadowing.	technology_rnd	numerical_rounding_precision;temporal_framing_precision;scope_condition_omission	high	high_ambiguity_scope
48	The feature is enabled for 20% of users via staged rollout.	A staged rollout has turned the feature on for about 20% of users.	Same rollout approach and exposure.	‘Enabled’ might mean can access; ‘turned on’ might imply actively used; also ‘about’ adds fuzziness.	technology_rnd	numerical_rounding_precision	high	high_ambiguity_numbers
49	In adults aged 65–80 with preexisting cardiovascular disease, daily walking reduced hospitalization rates by 9%.	Among adults 65–80 with cardiovascular disease, daily walking was linked to a 9% lower hospitalization rate.	Both keep the age band, condition, and 9% reduction framing.	‘Reduced’ suggests causal effect; ‘linked to’ is associational language. Also ‘preexisting’ is dropped which may matter.	health_science	temporal_framing_precision;correlation_vs_causation	high	high_ambiguity_scope
50	The trial met its primary endpoint at 12 weeks.	At week 12, the primary endpoint was achieved in the trial.	Same endpoint timing expressed differently.	‘Met’ can imply pre-specified statistical criteria; ‘achieved’ can be read as clinically meaningful without the same statistical bar.	health_science	near_paraphrase	medium	general
51	No serious adverse events were reported during Phase II.	Phase II reported no adverse events categorized as serious.	Both state absence of serious AEs in Phase II reporting.	‘Reported’ depends on reporting completeness; ‘categorized’ depends on classification—could differ by adjudication.	health_science	temporal_framing_precision	medium	general
52	Patient adherence remained above 90% throughout the study period.	Adherence stayed over 90% for the duration of the study.	Same threshold and full-study scope.	Internal could be medication adherence; external could be visit adherence; metric definition may differ.	health_science	threshold_boundary_scope;temporal_framing_precision;scope_condition_omission	high	high_ambiguity_scope
53	Median survival increased by 2.4 months relative to placebo.	Compared with placebo, median survival improved by 2.4 months.	Direct paraphrase with same effect size.	Could differ if internal is overall survival and external reads as progression-free survival; metric type not explicit.	health_science	temporal_framing_precision	medium	general
54	Results were replicated within a 95% confidence interval.	Replication fell within the 95% confidence bounds.	Same statistical statement with synonymous phrasing.	‘Within a 95% CI’ could mean overlap of intervals; ‘confidence bounds’ could refer to prediction intervals or different constructs.	health_science	near_paraphrase	medium	general
55	Measurement error accounted for less than 5% of the variance.	Less than 5% of variance was attributable to measurement error.	Same variance attribution statement.	Could differ if internal refers to explained variance in one model while external implies total variance in the phenomenon.	health_science	threshold_boundary_scope	high	high_ambiguity_numbers
56	The hypothesis was rejected at α = 0.05.	At the 5% significance level, the hypothesis was rejected.	Identical statistical threshold restated.	Could differ if a correction for multiple comparisons is assumed internally but not externally.	health_science	near_paraphrase	medium	general
57	Higher coffee consumption was associated with lower reported levels of depression.	Lower reported depression levels were observed among higher coffee consumers.	Both preserve association (not causation) and direction.	External could be read as implying a causal effect; also ‘reported levels’ vs ‘depression’ could mean different instruments.	health_science	correlation_vs_causation	high	high_ambiguity_scope
58	The correlation remained stable across three independent samples.	Across three independent samples, the correlation did not materially change.	Both indicate stability across samples.	‘Stable’ may allow minor variation; ‘did not materially change’ introduces a judgment threshold.	health_science	near_paraphrase	medium	general
59	The vaccine showed 74% efficacy against symptomatic disease in the 18–55 cohort.	In participants aged 18–55, efficacy against symptomatic disease was 74%.	Same cohort, endpoint, and efficacy percentage.	Internal could specify a particular variant or time window; external may omit those conditions.	health_science	temporal_framing_precision;scope_condition_omission;entity_specificity	high	high_ambiguity_scope
60	Dose-limiting toxicity was not observed up to 200 mg/day.	No dose-limiting toxicity was seen at doses up to 200 mg/day.	Equivalent phrasing of same safety finding and dose ceiling.	‘Not observed’ could reflect limited sample size; ‘was seen’ could be interpreted as stronger evidence of absence.	health_science	strength_intensity_shift	high	high_ambiguity_strength
61	The study enrolled 240 patients across 6 hospitals between 2019 and 2020.	Between 2019 and 2020, 240 patients from 6 hospitals were enrolled.	Same counts, sites, and period.	‘Across 6 hospitals’ could include multi-site networks; ‘from 6 hospitals’ implies patients originated there—subtle sourcing difference.	health_science	near_paraphrase	medium	general
62	The endpoint was met in 8 of 14 study sites.	Eight of the fourteen study sites met the endpoint.	Same fraction restated.	Internal could mean site-level analysis; external might be read as patient-level success aggregated by site.	health_science	temporal_framing_precision	medium	general
63	The model’s error rate decreased by 0.7 percentage points after recalibration.	After recalibration, the error rate fell by 0.7 percentage points.	Same effect size and intervention.	Internal might be absolute percentage-point change; external could be misread as relative percent change.	health_science	temporal_framing_precision;causality_vs_sequence	high	high_ambiguity_causality
64	Serum LDL decreased by 12 mg/dL after 8 weeks on treatment.	After 8 weeks of treatment, LDL fell by 12 mg/dL.	Same biomarker change and timeframe.	Internal specifies serum LDL; external omits ‘serum’ and could be interpreted as calculated LDL or a different measurement context.	health_science	temporal_framing_precision;causality_vs_sequence;scope_condition_omission	high	high_ambiguity_scope
65	The p-value for the primary outcome was 0.048.	The primary outcome was significant at p = 0.048.	Same p-value restated as significance.	‘Significant’ depends on pre-specified alpha and adjustments; internal gives a number without asserting significance.	health_science	near_paraphrase	medium	general
66	The trial protocol allowed rescue medication after day 14.	Rescue medication could be used after day 14 under the protocol.	Same permission and timing.	‘Allowed’ might have conditions; ‘could be used’ may imply broader discretion.	health_science	threshold_boundary_scope;causality_vs_sequence	high	high_ambiguity_numbers
67	The effect persisted through the 6-month follow-up.	The effect was still present at the 6-month follow-up.	Same persistence claim and timepoint.	‘Through’ could mean continuously across months; ‘at’ could mean only observed at that single visit.	health_science	temporal_framing_precision;causality_vs_sequence;strength_intensity_shift	high	high_ambiguity_causality
68	Adverse events led to discontinuation in 3.1% of participants.	About 3% of participants discontinued due to adverse events.	Rounded percentage and same causal reason.	Rounding may hide clinically relevant threshold; ‘due to’ implies attribution certainty vs internal could be investigator-assessed.	health_science	numerical_rounding_precision;causality_vs_sequence	high	high_ambiguity_numbers
69	The company is transitioning from third-party fact-checking to a community notes model in the U.S.	In the U.S., the company is moving from third-party fact-checking toward community notes.	Same shift and jurisdiction; reorder only.	‘Transitioning’ could mean already implemented; ‘moving toward’ may imply earlier stage or partial rollout.	governance_policy	near_paraphrase	medium	general
70	The previous moderation strategy relied on independent fact-checkers certified through IFCN.	The prior moderation approach centered on IFCN-certified independent fact-checkers.	Same reliance and certification attribute preserved.	‘Relied on’ could include other tools; ‘centered on’ implies primary mechanism, potentially overstating exclusivity.	governance_policy	temporal_framing_precision	medium	general
71	To date, global sustainability regulations have had no material impact on results of operations.	So far, sustainability regulations have not materially affected results of operations.	Both say no material impact so far.	‘No material impact’ is an accounting term; ‘not materially affected’ might be interpreted more loosely.	governance_policy	near_paraphrase	medium	general
72	The company sources 60% of its electricity from renewables in 2025.	In 2025, renewables provided about 60% of the company’s electricity.	Same proportion and year; paraphrase.	‘Sources’ could mean contracted vs physically delivered; external could be read as actual grid mix consumed.	governance_policy	numerical_rounding_precision	high	high_ambiguity_numbers
73	The new disclosure rule applies to firms with revenue above €750 million.	Firms with revenue over €750 million fall under the new disclosure rule.	Same threshold-based applicability.	‘Above’ vs ‘over’ could treat exactly €750 million differently; legal scope may hinge on precise wording.	governance_policy	threshold_boundary_scope;scope_condition_omission	high	high_ambiguity_scope
74	The press release stated the incident was contained within 90 minutes.	The company said the incident was contained in about 90 minutes.	Same containment window with mild rounding.	‘Contained’ could be operationally defined; ‘about 90 minutes’ weakens precision and may imply uncertainty.	governance_policy	numerical_rounding_precision	high	high_ambiguity_numbers
75	The board added two independent directors effective 1 Jan 2026.	Two independent directors joined the board on 1 Jan 2026.	Same number, independence status, and date.	Internal ‘added’ could include appointment but not seating; external ‘joined’ implies they began serving that day.	governance_policy	temporal_framing_precision	medium	general
76	Emissions fell 20% relative to 2015 levels after the policy change.	Relative to 2015, emissions were 20% lower following the policy change.	Same baseline and reduction described.	Internal implies causation (‘after the policy change’); external could be read as correlation in time rather than causal effect.	governance_policy	causality_vs_sequence	high	high_ambiguity_causality
77	The regulator opened a consultation period from 3 Feb to 31 Mar 2026.	A public consultation runs from 3 Feb through 31 Mar 2026.	Same dates and event; paraphrase.	‘Opened’ by regulator implies official authority; ‘public consultation runs’ omits who and could refer to a different consultation.	governance_policy	temporal_framing_precision	medium	general
78	Institutional trust declined by 9 points between 2018 and 2023.	From 2018 to 2023, institutional trust fell by nine points.	Same magnitude and interval.	Internal may be an index with sampling error; external treats it as a precise fact across populations.	governance_policy	temporal_framing_precision	medium	general
79	The report notes the change may increase polarization risks.	The report warns the change could raise polarization risks.	‘Notes’ and ‘warns’ both convey concern about increased risk.	‘Warns’ is stronger and implies higher confidence or urgency than ‘notes’.	governance_policy	strength_intensity_shift	high	high_ambiguity_strength
80	The company committed to net-zero for Scope 1 and 2 by 2040.	The company targets net-zero Scope 1 and 2 emissions by 2040.	Commitment/target both indicate the same 2040 net-zero intention.	‘Committed’ can be binding and accountable; ‘targets’ may be aspirational without enforcement.	governance_policy	temporal_framing_precision;strength_intensity_shift;scope_condition_omission	high	high_ambiguity_scope
81	The policy allows exceptions when approved by the compliance officer.	Exceptions are permitted with compliance officer approval under the policy.	Same conditional allowance.	Internal may imply rare exceptions; external could be read as broadly permitting exceptions so long as approval exists.	governance_policy	threshold_boundary_scope;temporal_framing_precision	high	high_ambiguity_numbers
82	The company’s code of conduct prohibits gifts above CHF 200 from vendors.	Vendor gifts over CHF 200 are prohibited under the code of conduct.	Same prohibition and threshold.	Exact boundary ambiguity (CHF 200 exactly) and potential pre-approved exemptions are not represented in external claim.	governance_policy	threshold_boundary_scope	high	high_ambiguity_numbers
83	The spokesperson said there was no evidence of customer data exfiltration.	The spokesperson said customer data exfiltration was not evidenced.	Same claim of no evidence, restated.	‘No evidence’ does not equal ‘did not happen’; external phrasing may be interpreted as stronger denial.	governance_policy	strength_intensity_shift	high	high_ambiguity_strength
84	Moral responsibility diminishes when autonomy is significantly constrained.	Significant constraints on autonomy reduce moral responsibility.	Both assert the same relationship between autonomy constraints and responsibility.	‘Diminishes’ suggests a gradient; ‘reduce’ can be read as categorical or unspecified degree.	philosophy_ethics	near_paraphrase	medium	general
85	Justice requires equal consideration of interests, not equal outcomes.	Justice demands interests be considered equally even when outcomes differ.	Both maintain equal consideration and reject outcome equality as requirement.	External could be read as endorsing outcome differences, while internal only says equal outcomes aren’t required.	philosophy_ethics	near_paraphrase	medium	general
86	Freedom involves the capacity to act otherwise, not merely absence of coercion.	Freedom is more than non-coercion; it includes the ability to choose differently.	Both define freedom as including alternative possibilities beyond coercion absence.	‘Capacity to act otherwise’ can be metaphysical; ‘choose differently’ can be interpreted psychologically or socially.	philosophy_ethics	near_paraphrase	medium	general
87	Ethical legitimacy depends partly on procedural fairness.	Procedural fairness contributes to ethical legitimacy.	Both say procedural fairness matters for legitimacy.	‘Depends partly’ implies it is necessary among factors; ‘contributes’ could be read as optional or minor.	philosophy_ethics	near_paraphrase	medium	general
88	Meaning arises from shared practices over extended periods of time.	Over time, shared practices generate meaning.	Both connect meaning with shared practice over time.	‘Extended periods’ stresses long duration; external could include short-term trends as ‘over time’.	philosophy_ethics	threshold_boundary_scope	high	high_ambiguity_numbers
89	Transparency can improve accountability but may reduce privacy in some contexts.	Greater transparency can raise accountability while sometimes limiting privacy.	Same trade-off relationship expressed.	‘May reduce’ vs ‘limiting’ implies different strength; ‘some contexts’ vs ‘sometimes’ changes scope.	philosophy_ethics	scope_condition_omission	high	high_ambiguity_scope
90	Consent is valid only when participants understand material risks.	Consent requires understanding of material risks to be valid.	Same necessary condition for valid consent.	‘Only when’ can imply strict requirement; ‘requires’ may allow partial understanding depending on interpretation.	philosophy_ethics	strength_intensity_shift	high	high_ambiguity_strength
91	Legitimacy is strengthened when decisions are publicly justifiable.	Publicly justifiable decisions tend to enhance legitimacy.	Both link public justification to legitimacy improvement.	‘Strengthened’ sounds causal; ‘tend to’ is probabilistic and weaker.	philosophy_ethics	near_paraphrase	medium	general
92	Fairness metrics can conflict, making single-score optimization difficult.	Because fairness metrics can conflict, optimizing a single score is often hard.	Both say metric conflict complicates optimization.	‘Can conflict’ is possibility; ‘because ...’ suggests conflict is a given in the scenario.	philosophy_ethics	causality_vs_sequence	high	high_ambiguity_causality
93	Collective responsibility increases as coordination among actors increases.	As actors coordinate more, collective responsibility tends to rise.	Both state a positive relationship between coordination and collective responsibility.	‘Increases as’ implies monotonic relationship; ‘tends to’ allows exceptions and could be seen as weaker.	philosophy_ethics	near_paraphrase	medium	general
94	A policy is ethically defensible if it balances harms and benefits transparently.	Transparent balancing of harms and benefits can make a policy ethically defensible.	Both say transparent trade-off balancing supports ethical defensibility.	‘If’ implies sufficiency; ‘can make’ implies not always sufficient.	philosophy_ethics	near_paraphrase	medium	general
95	Equality of opportunity does not guarantee equality of outcomes.	Equal opportunity can still result in unequal outcomes.	Same idea restated.	‘Does not guarantee’ is formal; ‘can still’ might be read as endorsing unequal outcomes as acceptable.	philosophy_ethics	causality_vs_sequence;strength_intensity_shift	high	high_ambiguity_causality
96	Bias mitigation may shift errors across groups rather than eliminate them.	Reducing bias can redistribute errors between groups.	Both describe trade-off/redistribution nature of mitigation.	‘May’ vs ‘can’ differs; ‘redistribute’ implies a definite shift whereas ‘may shift’ is conditional.	philosophy_ethics	near_paraphrase	medium	general
97	Trust depends on both competence and perceived intent.	Competence and perceived intent both shape trust.	Same two-factor view of trust.	‘Depends on’ could imply necessity; ‘shape’ could allow trust to be formed without one factor.	philosophy_ethics	near_paraphrase	medium	general
98	Accountability mechanisms work best when incentives align with stated values.	Aligned incentives help accountability mechanisms function well.	Both link incentive alignment to effective accountability.	‘Work best’ implies comparative optimum; ‘help’ is weaker and could imply they are not essential.	philosophy_ethics	near_paraphrase	medium	general
99	Alexandra Bastedo was a vegetarian and an animal welfare advocate.	Alexandra Bastedo followed a vegetarian lifestyle.	A vegetarian lifestyle is a concise restatement of being a vegetarian.	‘Lifestyle’ can imply a consistent long-term practice and may omit nuance (e.g., periods of vegetarianism, motive, or strictness).	philosophy_ethics	near_paraphrase	medium	general
100	WizzyPro is a Nigerian record producer signed to BeatBox.	BeatBox has signed at least one Nigerian record producer.	If WizzyPro is signed and is Nigerian, then BeatBox has signed a Nigerian producer.	External claim is weaker and could be interpreted as referring to current roster or a different time period than the internal statement.	philosophy_ethics	entity_specificity	high	high_ambiguity_mixed
